   0.0000     0.0000
   0.1256     0.0000
   0.2512     0.0001
   0.3769     0.0001
   0.5025     0.0002
   0.6281     0.0004
   0.7537     0.0007
   0.8793     0.0012
   1.0050     0.0022
   1.1306     0.0038
   1.2562     0.0063
   1.3818     0.0103
   1.5075     0.0164
   1.6331     0.0255
   1.7587     0.0391
   1.8843     0.0590
   2.0099     0.0882
   2.1356     0.1312
   2.2612     0.1951
   2.3868     0.2908
   2.5124     0.4334
   2.6380     0.6409
   2.7637     0.9312
   2.8893     1.3186
   3.0149     1.7954
   3.1405     2.3009
   3.2661     2.6885
   3.3918     2.9614
   3.5174     3.2495
   3.6430     3.6351
   3.7686     4.1652
   3.8942     4.8678
   4.0199     5.7758
   4.1455     7.1641
   4.2711    10.9281
   4.3967    24.5986
   4.5224    21.0409
   4.6480    14.7843
   4.7736    14.8475
   4.8992    15.8557
   5.0248    17.0744
   5.1505    21.2529
   5.2761    34.4960
   5.4017    33.6909
   5.5273    27.7181
   5.6529    15.4558
   5.7786    12.0064
   5.9042    10.7447
   6.0298    10.0416
   6.1554     9.7383
   6.2810     9.8274
   6.4067    10.2606
   6.5323    11.1633
   6.6579    14.2434
   6.7835    25.8629
   6.9091    28.6052
   7.0348    34.4792
   7.1604    17.6216
   7.2860    12.4313
   7.4116    11.1536
   7.5373    10.5180
   7.6629    10.0552
   7.7885     9.7001
   7.9141     9.3867
   8.0397     9.3120
   8.1654    10.4797
   8.2910    17.6412
   8.4166    24.7899
   8.5422    11.2387
   8.6678     7.5589
   8.7935     6.2905
   8.9191     5.4012
   9.0447     4.6484
   9.1703     4.0427
   9.2959     3.5622
   9.4216     3.1262
   9.5472     2.5991
   9.6728     1.9968
   9.7984     1.4562
   9.9240     1.0268
  10.0497     0.7078
  10.1753     0.4802
  10.3009     0.3233
  10.4265     0.2173
  10.5522     0.1459
  10.6778     0.0977
  10.8034     0.0650
  10.9290     0.0428
  11.0546     0.0277
  11.1803     0.0176
  11.3059     0.0110
  11.4315     0.0067
  11.5571     0.0040
  11.6827     0.0023
  11.8084     0.0013
  11.9340     0.0007
  12.0596     0.0004
  12.1852     0.0002
  12.3108     0.0001
  12.4365     0.0001
